first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Hélder,Costa,418,Costa,49,-1,3,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0
Ivan,Cavaleiro,419,Cavaleiro,49,-1,3,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0
Leander,Dendoncker,420,Dendoncker,44,-1,3,10.1,20,39,39,1310,1,0,4,16,1,0,0,3,181
Jesús,Vallejo Lázaro,473,Vallejo,47,-3,2,0.2,20,39,1,162,0,0,0,6,1,0,0,0,22
Patrick,Cutrone,487,Cutrone,56,-4,4,0.6,20,39,22,291,2,0,1,6,0,0,0,0,66
Pedro,Lomba Neto,528,Neto,50,0,3,0.0,20,39,15,173,0,2,0,1,1,0,0,0,41
Bernard,Ashley-Seal,559,Ashley-Seal,45,0,4,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0
Taylor,Perry,560,Perry,45,0,3,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0
Owen,Otasowie,566,Otasowie,45,0,3,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0
Luke,Cundle,567,Cundle,45,0,3,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0
